year,quarter,date_range,court_type,crown_court_centre,local_criminal_justice_board,region,yearquarter,offence_type,variable_type,value
2015,Q1,Jan-Mar 2015,Crown,Central Criminal Court,Central London,London,2015Q1,Violence Against The Person,Receipts,70
2015,Q1,Jan-Mar 2015,Crown,Southwark,Central London,London,2015Q1,Violence Against The Person,Receipts,43
2015,Q1,Jan-Mar 2015,Crown,Snaresbrook,North East London,London,2015Q1,Violence Against The Person,Receipts,128
2015,Q1,Jan-Mar 2015,Crown,Harrow,North West London,London,2015Q1,Violence Against The Person,Receipts,55
2015,Q1,Jan-Mar 2015,Crown,Wood Green,North West London,London,2015Q1,Violence Against The Person,Receipts,120
2015,Q1,Jan-Mar 2015,Crown,Croydon,South East London,London,2015Q1,Violence Against The Person,Receipts,53
2015,Q1,Jan-Mar 2015,Crown,Inner London Sessions House,South East London,London,2015Q1,Violence Against The Person,Receipts,70
2015,Q1,Jan-Mar 2015,Crown,Woolwich,South East London,London,2015Q1,Violence Against The Person,Receipts,79
2015,Q1,Jan-Mar 2015,Crown,Blackfriars,South West London,London,2015Q1,Violence Against The Person,Receipts,33
2015,Q1,Jan-Mar 2015,Crown,Isleworth,South West London,London,2015Q1,Violence Against The Person,Receipts,121
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Thames,South West London,London,2015Q1,Violence Against The Person,Receipts,55
2015,Q1,Jan-Mar 2015,Crown,Derby,Derbyshire,Midlands,2015Q1,Violence Against The Person,Receipts,60
2015,Q1,Jan-Mar 2015,Crown,Leicester,Leicestershire,Midlands,2015Q1,Violence Against The Person,Receipts,61
2015,Q1,Jan-Mar 2015,Crown,Lincoln,Lincolnshire,Midlands,2015Q1,Violence Against The Person,Receipts,54
2015,Q1,Jan-Mar 2015,Crown,Northampton,Northamptonshire,Midlands,2015Q1,Violence Against The Person,Receipts,53
2015,Q1,Jan-Mar 2015,Crown,Nottingham,Nottinghamshire,Midlands,2015Q1,Violence Against The Person,Receipts,124
2015,Q1,Jan-Mar 2015,Crown,Stafford,Staffordshire,Midlands,2015Q1,Violence Against The Person,Receipts,40
2015,Q1,Jan-Mar 2015,Crown,Stoke On Trent,Staffordshire,Midlands,2015Q1,Violence Against The Person,Receipts,35
2015,Q1,Jan-Mar 2015,Crown,Warwick,Warwickshire,Midlands,2015Q1,Violence Against The Person,Receipts,90
2015,Q1,Jan-Mar 2015,Crown,Shrewsbury,West Mercia,Midlands,2015Q1,Violence Against The Person,Receipts,24
2015,Q1,Jan-Mar 2015,Crown,Worcester,West Mercia,Midlands,2015Q1,Violence Against The Person,Receipts,67
2015,Q1,Jan-Mar 2015,Crown,Birmingham,West Midlands,Midlands,2015Q1,Violence Against The Person,Receipts,160
2015,Q1,Jan-Mar 2015,Crown,Wolverhampton,West Midlands,Midlands,2015Q1,Violence Against The Person,Receipts,123
2015,Q1,Jan-Mar 2015,Crown,Teesside,Cleveland,North East,2015Q1,Violence Against The Person,Receipts,89
2015,Q1,Jan-Mar 2015,Crown,Durham,Durham,North East,2015Q1,Violence Against The Person,Receipts,32
2015,Q1,Jan-Mar 2015,Crown,Great Grimsby,Humberside,North East,2015Q1,Violence Against The Person,Receipts,22
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Hull,Humberside,North East,2015Q1,Violence Against The Person,Receipts,50
2015,Q1,Jan-Mar 2015,Crown,Sheffield,Humberside,North East,2015Q1,Violence Against The Person,Receipts,123
2015,Q1,Jan-Mar 2015,Crown,York,North Yorkshire,North East,2015Q1,Violence Against The Person,Receipts,40
2015,Q1,Jan-Mar 2015,Crown,Newcastle Upon Tyne,Northumbria,North East,2015Q1,Violence Against The Person,Receipts,136
2015,Q1,Jan-Mar 2015,Crown,Bradford,West Yorkshire,North East,2015Q1,Violence Against The Person,Receipts,70
2015,Q1,Jan-Mar 2015,Crown,Leeds,West Yorkshire,North East,2015Q1,Violence Against The Person,Receipts,154
2015,Q1,Jan-Mar 2015,Crown,Chester,Cheshire,North West,2015Q1,Violence Against The Person,Receipts,71
2015,Q1,Jan-Mar 2015,Crown,Carlisle,Cumbria,North West,2015Q1,Violence Against The Person,Receipts,36
2015,Q1,Jan-Mar 2015,Crown,Bolton,Greater Manchester,North West,2015Q1,Violence Against The Person,Receipts,56
2015,Q1,Jan-Mar 2015,Crown,Manchester Crown Sq,Greater Manchester,North West,2015Q1,Violence Against The Person,Receipts,107
2015,Q1,Jan-Mar 2015,Crown,Manchester Minshull St,Greater Manchester,North West,2015Q1,Violence Against The Person,Receipts,108
2015,Q1,Jan-Mar 2015,Crown,Burnley,Lancashire,North West,2015Q1,Violence Against The Person,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Preston,Lancashire,North West,2015Q1,Violence Against The Person,Receipts,148
2015,Q1,Jan-Mar 2015,Crown,Liverpool,Merseyside,North West,2015Q1,Violence Against The Person,Receipts,176
2015,Q1,Jan-Mar 2015,Crown,Luton,Bedfordshire,South East,2015Q1,Violence Against The Person,Receipts,50
2015,Q1,Jan-Mar 2015,Crown,Cambridge,Cambridgeshire,South East,2015Q1,Violence Against The Person,Receipts,46
2015,Q1,Jan-Mar 2015,Crown,Peterborough,Cambridgeshire,South East,2015Q1,Violence Against The Person,Receipts,44
2015,Q1,Jan-Mar 2015,Crown,Basildon,Essex,South East,2015Q1,Violence Against The Person,Receipts,64
2015,Q1,Jan-Mar 2015,Crown,Chelmsford,Essex,South East,2015Q1,Violence Against The Person,Receipts,77
2015,Q1,Jan-Mar 2015,Crown,St Albans,Hertfordshire,South East,2015Q1,Violence Against The Person,Receipts,42
2015,Q1,Jan-Mar 2015,Crown,Canterbury,Kent,South East,2015Q1,Violence Against The Person,Receipts,57
2015,Q1,Jan-Mar 2015,Crown,Maidstone,Kent,South East,2015Q1,Violence Against The Person,Receipts,83
2015,Q1,Jan-Mar 2015,Crown,Norwich,Norfolk,South East,2015Q1,Violence Against The Person,Receipts,57
2015,Q1,Jan-Mar 2015,Crown,Ipswich,Suffolk,South East,2015Q1,Violence Against The Person,Receipts,46
2015,Q1,Jan-Mar 2015,Crown,Guildford,Surrey,South East,2015Q1,Violence Against The Person,Receipts,50
2015,Q1,Jan-Mar 2015,Crown,Chichester,Sussex,South East,2015Q1,Violence Against The Person,Receipts,19
2015,Q1,Jan-Mar 2015,Crown,Lewes,Sussex,South East,2015Q1,Violence Against The Person,Receipts,64
2015,Q1,Jan-Mar 2015,Crown,Aylesbury,Thames Valley,South East,2015Q1,Violence Against The Person,Receipts,38
2015,Q1,Jan-Mar 2015,Crown,Oxford,Thames Valley,South East,2015Q1,Violence Against The Person,Receipts,28
2015,Q1,Jan-Mar 2015,Crown,Reading,Thames Valley,South East,2015Q1,Violence Against The Person,Receipts,76
2015,Q1,Jan-Mar 2015,Crown,Bristol,Avon & Somerset,South West,2015Q1,Violence Against The Person,Receipts,105
2015,Q1,Jan-Mar 2015,Crown,Taunton,Avon & Somerset,South West,2015Q1,Violence Against The Person,Receipts,32
2015,Q1,Jan-Mar 2015,Crown,Exeter,Devon & Cornwall,South West,2015Q1,Violence Against The Person,Receipts,66
2015,Q1,Jan-Mar 2015,Crown,Plymouth,Devon & Cornwall,South West,2015Q1,Violence Against The Person,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Truro,Devon & Cornwall,South West,2015Q1,Violence Against The Person,Receipts,29
2015,Q1,Jan-Mar 2015,Crown,Bournemouth,Dorset,South West,2015Q1,Violence Against The Person,Receipts,39
2015,Q1,Jan-Mar 2015,Crown,Weymouth & Dorchester,Dorset,South West,2015Q1,Violence Against The Person,Receipts,18
2015,Q1,Jan-Mar 2015,Crown,Gloucester,Gloucestershire,South West,2015Q1,Violence Against The Person,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Newport (Isle of Wight),Hampshire,South West,2015Q1,Violence Against The Person,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Portsmouth,Hampshire,South West,2015Q1,Violence Against The Person,Receipts,35
2015,Q1,Jan-Mar 2015,Crown,Southampton,Hampshire,South West,2015Q1,Violence Against The Person,Receipts,36
2015,Q1,Jan-Mar 2015,Crown,Winchester,Hampshire,South West,2015Q1,Violence Against The Person,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Salisbury,Wiltshire,South West,2015Q1,Violence Against The Person,Receipts,11
2015,Q1,Jan-Mar 2015,Crown,Swindon,Wiltshire,South West,2015Q1,Violence Against The Person,Receipts,24
2015,Q1,Jan-Mar 2015,Crown,Mold,North Wales,Wales,2015Q1,Violence Against The Person,Receipts,59
2015,Q1,Jan-Mar 2015,Crown,Cardiff,South Wales,Wales,2015Q1,Violence Against The Person,Receipts,155
2015,Q1,Jan-Mar 2015,Crown,Merthyr Tydfil,South Wales,Wales,2015Q1,Violence Against The Person,Receipts,38
2015,Q1,Jan-Mar 2015,Crown,Swansea,South Wales,Wales,2015Q1,Violence Against The Person,Receipts,77
2015,Q1,Jan-Mar 2015,Crown,Central Criminal Court,Central London,London,2015Q1,Sexual Offences,Receipts,12
2015,Q1,Jan-Mar 2015,Crown,Southwark,Central London,London,2015Q1,Sexual Offences,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Snaresbrook,North East London,London,2015Q1,Sexual Offences,Receipts,49
2015,Q1,Jan-Mar 2015,Crown,Harrow,North West London,London,2015Q1,Sexual Offences,Receipts,18
2015,Q1,Jan-Mar 2015,Crown,Wood Green,North West London,London,2015Q1,Sexual Offences,Receipts,32
2015,Q1,Jan-Mar 2015,Crown,Croydon,South East London,London,2015Q1,Sexual Offences,Receipts,29
2015,Q1,Jan-Mar 2015,Crown,Inner London Sessions House,South East London,London,2015Q1,Sexual Offences,Receipts,20
2015,Q1,Jan-Mar 2015,Crown,Woolwich,South East London,London,2015Q1,Sexual Offences,Receipts,43
2015,Q1,Jan-Mar 2015,Crown,Blackfriars,South West London,London,2015Q1,Sexual Offences,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Isleworth,South West London,London,2015Q1,Sexual Offences,Receipts,40
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Thames,South West London,London,2015Q1,Sexual Offences,Receipts,20
2015,Q1,Jan-Mar 2015,Crown,Derby,Derbyshire,Midlands,2015Q1,Sexual Offences,Receipts,38
2015,Q1,Jan-Mar 2015,Crown,Leicester,Leicestershire,Midlands,2015Q1,Sexual Offences,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Lincoln,Lincolnshire,Midlands,2015Q1,Sexual Offences,Receipts,30
2015,Q1,Jan-Mar 2015,Crown,Northampton,Northamptonshire,Midlands,2015Q1,Sexual Offences,Receipts,34
2015,Q1,Jan-Mar 2015,Crown,Nottingham,Nottinghamshire,Midlands,2015Q1,Sexual Offences,Receipts,43
2015,Q1,Jan-Mar 2015,Crown,Stafford,Staffordshire,Midlands,2015Q1,Sexual Offences,Receipts,10
2015,Q1,Jan-Mar 2015,Crown,Stoke On Trent,Staffordshire,Midlands,2015Q1,Sexual Offences,Receipts,19
2015,Q1,Jan-Mar 2015,Crown,Warwick,Warwickshire,Midlands,2015Q1,Sexual Offences,Receipts,25
